tram_id,source_station,destination_station,start_time,end_time,Duration,distance,Day
1,Broombridge,Bride's Glen,04:55,06:09,01:14,20,MON-FRI
2,Broombridge,Bride's Glen,05:30,06:33,01:03,20,MON-FRI
3,Broombridge,Bride's Glen,05:50,06:53,01:03,20,MON-FRI
4,Broombridge,Bride's Glen,06:01,07:04,01:03,20,MON-FRI
5,Broombridge,Bride's Glen,06:10,07:13,01:03,20,MON-FRI
6,Broombridge,Bride's Glen,06:19,07:22,01:03,20,MON-FRI
7,Broombridge,Bride's Glen,06:32,07:35,01:03,20,MON-FRI
8,Broombridge,Bride's Glen,06:37,07:40,01:03,20,MON-FRI
9,Broombridge,Bride's Glen,06:47,07:50,01:03,20,MON-FRI
10,Broombridge,Bride's Glen,06:53,07:56,01:03,20,MON-FRI
11,Broombridge,Bride's Glen,06:59,08:02,01:03,20,MON-FRI
12,Broombridge,Bride's Glen,07:10,08:13,01:03,20,MON-FRI
13,Broombridge,Bride's Glen,07:20,08:23,01:03,20,MON-FRI
14,Broombridge,Bride's Glen,07:30,08:35,01:05,20,MON-FRI
15,Broombridge,Bride's Glen,07:40,08:46,01:06,20,MON-FRI
16,Broombridge,Bride's Glen,07:49,08:56,01:07,20,MON-FRI
17,Central Park,Bride's Glen,05:27,05:45,00:18,20,MON-FRI
18,Central Park,Bride's Glen,05:46,06:04,00:18,20,MON-FRI
19,Central Park,Bride's Glen,06:07,06:25,00:18,20,MON-FRI
20,Central Park,Bride's Glen,06:25,06:43,00:18,20,MON-FRI
21,Parnell,Bride's Glen,06:40,07:30,00:50,20,MON-FRI
22,Parnell,Bride's Glen,06:55,07:45,00:50,20,MON-FRI
23,Parnell,Bride's Glen,07:18,08:08,00:50,20,MON-FRI
24,Parnell,Bride's Glen,07:28,08:18,00:50,20,MON-FRI
25,Parnell,Bride's Glen,07:38,08:29,00:51,20,MON-FRI
26,Parnell,Sandyford,07:48,08:23,00:35,20,MON-FRI
27,Broombridge,Sandyford,07:53,08:42,00:49,20,MON-FRI
28,Broombridge,Sandyford,08:01,08:50,00:49,20,MON-FRI
29,Broombridge,Sandyford,08:10,08:59,00:49,20,MON-FRI
30,Broombridge,Sandyford,08:20,09:09,00:49,20,MON-FRI
31,Broombridge,Sandyford,08:28,09:17,00:49,20,MON-FRI
32,Broombridge,Sandyford,08:37,09:26,00:49,20,MON-FRI
33,Broombridge,Sandyford,08:46,09:35,00:49,20,MON-FRI
34,Broombridge,Sandyford,08:54,09:42,00:48,20,MON-FRI
35,Broombridge,Sandyford,09:06,09:52,00:46,20,MON-FRI
36,Broombridge,Sandyford,09:14,10:00,00:46,20,MON-FRI
37,Broombridge,Bride's Glen,09:24,10:27,01:03,20,MON-FRI
38,Parnell,Sandyford,07:58,08:33,00:35,20,MON-FRI
39,Parnell,Bride's Glen,08:10,09:04,00:54,20,MON-FRI
40,Parnell,Bride's Glen,08:19,09:13,00:54,20,MON-FRI
41,Parnell,Bride's Glen,08:28,09:22,00:54,20,MON-FRI
42,Parnell,Bride's Glen,08:37,09:31,00:54,20,MON-FRI
43,Parnell,Sandyford,08:44,09:20,00:36,20,MON-FRI
44,Parnell,Bride's Glen,08:47,09:41,00:54,20,MON-FRI
