Stop_English,Latitude,Longitude,stop_code,
Saggart,53.284679,-6.437763,SAG,
Fortunestown,53.284251,-6.424602,FOR,
Citywest Campus,53.287833,-6.418915,CIT,
Cheeverstown,53.290982,-6.406849,CVN,
Fettercairn,53.293519,-6.395554,FET,
Tallaght,53.287494,-6.374589,TAL,
Hospital,53.289369,-6.37885,HOS,
Cookstown,53.293506,-6.384397,COO,
Belgard,53.299286,-6.374886,BEL,
Kingswood,53.303694,-6.36525,KIN,
Red Cow,53.316833,-6.369872,RED,
Kylemore,53.326656,-6.343444,KYL,
Bluebell,53.329297,-6.333792,BLU,
Blackhorse,53.334258,-6.327394,BLA,
Drimnagh,53.335361,-6.318161,DRI,
Goldenbridge,53.335892,-6.313569,GOL,
Suir Road,53.336617,-6.307211,SUI,
Rialto,53.337908,-6.297242,RIA,
Fatima,53.338439,-6.292547,FAT,
James's,53.341942,-6.293361,JAM,
Heuston,53.346647,-6.291808,HEU,
Museum,53.347867,-6.286714,MUS,
Smithfield,53.347133,-6.277728,SMI,
Four Courts,53.346864,-6.273436,FOU,
Jervis,53.347686,-6.265333,JER,
Abbey Street,53.348589,-6.258172,ABB,
Busáras,53.350075,-6.25145,BUS,
Connolly,53.350922,-6.249942,CON,
George's Dock,53.349528,-6.247575,GDK,
Mayor Square - NCI,53.349247,-6.243394,MYS,
Spencer Dock,53.348822,-6.237147,SDK,
The Point,53.34835,-6.229258,TPT,
St. Stephen's Green,53.339072,-6.261333,STS,
Harcourt,53.333358,-6.26265,HAR,
Charlemont,53.330669,-6.258683,CHA,
Ranelagh,53.326433,-6.256203,RAN,
Beechwood,53.320822,-6.254653,BEE,
Cowper,53.316467,-6.253447,COW,
Milltown,53.309917,-6.251728,MIL,
Windy Arbour,53.301558,-6.250708,WIN,
Dundrum,53.292358,-6.245117,DUN,
Balally,53.286106,-6.236772,BAL,
Kilmacud,53.283008,-6.223886,KIL,
Stillorgan,53.279311,-6.209919,STI,
Sandyford,53.277603,-6.204678,SAN,
Central Park,53.27015,-6.203764,CPK,
Glencairn,53.266336,-6.209942,GLE,
The Gallops,53.261164,-6.206022,GAL,
Leopardstown Valley,53.258247,-6.198361,LEO,
Ballyogan Wood,53.255047,-6.184475,BAW,
Racecourse (passive stop),53.255367,-6.175161,RCC,
Carrickmines,53.254033,-6.169908,CCK,
Brennanstown (passive stop),53.252619,-6.161597,BRE,
Laughanstown,53.250606,-6.155006,LAU,
Cherrywood,53.245333,-6.145853,CHE,
Brides Glen,53.242075,-6.142886,BRI,
Broombridge,53.37224,-6.29769,BRO,
Cabra,53.364071,-6.28181,CAB,
Phibsborough,53.36037,-6.27888,PHI,
Grangegorman,53.3572,-6.27734,GRA,
Broadstone - DIT,53.3541,-6.2735,BRD,
Dominick,53.35136544,-6.26551667,DOM,
Parnell,53.35313,-6.26042,PAR,
O'Connell - Upper,53.351589,-6.261082,OUP,
O'Connell - GPO,53.348843,-6.259927,OGP,
Marlborough,53.34905361,-6.25774734,MAR,
Westmoreland,53.346326,-6.259027,WES,
Trinity,53.34535187,-6.25870376,TRY,
Dawson,53.34217738,-6.257960106,DAW,
Racecourse,53.52367,-6.16767,RCC,
Brennanstown,53.254,-6.17007,BRE,
